user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,status,price,store_id,email,username,raw_timestamp
1,2024-05-14,West,Furniture,1829.84,Mumbai,54,Basic,Inactive,1829.84,104,user1@mail.com,user1,2024-02-17 09:17:00
2,2024-08-24,East,Furniture,1771.78,Kolkata,55,Premium,Active,1771.78,104,,user2,2024-01-07 07:46:00
3,2024-04-26,North,Grocery,343.26,Chandigarh,59,Premium,Active,343.26,104,,user3,2024-06-19 20:55:00
4,2024-02-16,North,Grocery,2666.81,Chandigarh,21,Basic,Inactive,2666.81,103,,user4,2024-08-15 01:53:00
5,2024-07-02,South,Clothing,1887.6,Bengaluru,45,Basic,,,104,user5@mail.com,user5,2024-10-15 08:11:00
6,2024-11-09,West,Electronics,383.35,Mumbai,35,Premium,Active,383.35,103,user6@mail.com,user6,2024-08-20 04:54:00
7,2024-04-26,North,Furniture,964.67,Chandigarh,46,Basic,Active,964.67,103,user7@mail.com,user7,2024-03-13 10:52:00
8,2024-06-17,North,Clothing,3409.2,Chandigarh,42,Premium,,,102,user8@mail.com,user8,2024-09-20 16:43:00
9,2024-08-05,East,Clothing,3026.26,Bhubaneswar,38,Basic,Inactive,3026.26,102,user9@mail.com,user9,2024-10-01 22:04:00
10,2024-10-12,South,Electronics,971.59,Bengaluru,46,Basic,Active,971.59,105,user10@mail.com,user10,2024-06-21 13:54:00
11,2024-01-15,North,Furniture,1773.54,Chandigarh,31,Premium,Active,,104,user11@mail.com,user11,2024-11-16 04:44:00
12,2024-08-03,South,Furniture,3668.93,Chennai,37,Premium,Active,3668.93,101,user12@mail.com,user12,2024-06-12 23:20:00
13,2024-11-23,East,Electronics,3520.54,Bhubaneswar,21,Basic,,3520.54,105,user13@mail.com,user13,2024-06-14 04:07:00
14,2024-10-23,East,Electronics,3433.67,Bhubaneswar,39,Premium,Inactive,3433.67,104,user14@mail.com,user14,2024-02-10 06:23:00
15,2024-10-06,South,Furniture,2524.39,Bengaluru,46,Premium,Inactive,2524.39,101,user15@mail.com,user15,2024-01-15 15:46:00
